CourseId,CourseTitle,AttendeeId,FirstName,LastName,Email,Phone,EnrollmentStatus
3979,Computer Forensics,367632,Judie,Drum,hachi@msn.com,,Registered
3859,Network-Based Application Development,556355,Dayanara,Misael,,(444) 634-0032,Registered
2763,Software Engineering,716077,Dawson,Barrett,smeier@comcast.net,,Registered
3658,Secure Programming and Penetration Testing,504477,Siena,Marina,,,Registered
5000,Usable Security and Privacy,910991,Greta,Aubrey,world@att.net,,Registered
2191,Database Design and Implemenation,758958,Alexandra,Juan,ntegrity@optonline.net,,Registered
3635,Introduction to Computer Architecture,435842,Elias,Walter,,,Registered
2766,Matrices and Linear Algebra,853705,Hailey,Aria,credmond@msn.com,(272) 431-9876,Registered
3234,Human-Centered Design,537961,Kelsey,Helen,kramulous@comcast.net,(406) 406-8031,Registered
3448,Web-Based Application Design and Development,434950,Katherine,Carly,starstuff@comcast.net,,Registered
3979,Computer Forensics,688244,Aaron,Tyshawn,boomzilla@sbcglobal.net,(508) 819-1923,Registered
3979,Computer Forensics,975100,Skyler,Tiara,tbusch@hotmail.com,(709) 718-9826,Registered
3979,Computer Forensics,356298,Minta,Butler-vincent,,(653) 535-3374,Registered
3979,Computer Forensics,618980,Gillian,Brent,,,Registered
3979,Computer Forensics,472905,Beau,Mark,,,Registered
3979,Computer Forensics,958325,Luciano,Melany,chaffar@me.com,(332) 622-0427,Registered
3979,Computer Forensics,638545,Heather,Elliana,,,Registered
3979,Computer Forensics,812662,Courtney,Julius,jespley@yahoo.com,(673) 440-3369,Registered
3979,Computer Forensics,974824,Annabel,William,,(535) 849-9348,Registered
3979,Computer Forensics,516620,Savanna,Brielle,,(749) 944-4830,Registered
3979,Computer Forensics,682598,Tristan,Ean,,(228) 682-4224,Registered
3979,Computer Forensics,710209,Mariela,Ulises,miturria@sbcglobal.net,,Registered
3979,Computer Forensics,988218,Dereon,Jaylon,dburrows@msn.com,(644) 852-5298,Registered
3979,Computer Forensics,590836,Mateo,Tatiana,panolex@live.com,(567) 393-4979,Registered
3979,Computer Forensics,897529,Amari,Jocelyn,arebenti@sbcglobal.net,(474) 812-7219,Registered
3979,Computer Forensics,935164,Marissa,Kieran,crowemojo@gmail.com,(290) 772-3707,Registered
3979,Computer Forensics,852936,Jay,Finley,godeke@yahoo.ca,(492) 475-1930,Registered
3979,Computer Forensics,795200,Dakota,Clayton,burns@mac.com,(874) 920-5273,Registered
3979,Computer Forensics,365943,Donnette,Reinold,,,Wait Listed
3979,Computer Forensics,822916,Mariyah,Penelope,dobey@outlook.com,(852) 285-0200,Wait Listed
3979,Computer Forensics,435900,Ashtyn,Sanaa,bigmauler@icloud.com,,Wait Listed
3979,Computer Forensics,934920,Cristofer,Athena,scarlet@mac.com,,Wait Listed
3979,Computer Forensics,846036,Kamora,Cory,zilla@live.com,,Wait Listed
3979,Computer Forensics,323649,Rebeca,Leroux,nanop@yahoo.com,(252) 969-5768,Wait Listed
3979,Computer Forensics,613371,Jameson,Katelyn,oevans@yahoo.ca,,Wait Listed
3979,Computer Forensics,980571,Trevor,Ryan,,(439) 907-7399,Registered
3979,Computer Forensics,961830,Roselyn,Ryker,bflong@yahoo.com,,Registered
3979,Computer Forensics,951313,Jayden,Leo,arachne@att.net,(282) 416-4158,Registered
3979,Computer Forensics,369358,Kristian,Beckham,frederic@outlook.com,,Registered
3979,Computer Forensics,599864,Khalil,Danna,naupa@gmail.com,(703) 504-4627,Registered
3979,Computer Forensics,806439,Richard,Kaley,cameron@icloud.com,(395) 886-4728,Registered
3979,Computer Forensics,687585,Alayna,Jayvon,,(320) 265-0016,Wait Listed
3979,Computer Forensics,759827,Emilio,Abagail,ullman@sbcglobal.net,,Wait Listed
3979,Computer Forensics,485364,Sophie,Philip,,,Wait Listed
3979,Computer Forensics,516531,Maggie,James,chance@icloud.com,,Wait Listed
3979,Computer Forensics,810895,Allyson,Lindsay,,,Wait Listed
3979,Computer Forensics,846728,Dahlia,Jett,peoplesr@comcast.net,(631) 464-5962,Wait Listed
3979,Computer Forensics,669865,Greyson,David,,,Wait Listed
3979,Computer Forensics,529809,Raymond,Myles,knorr@gmail.com,(264) 806-6311,Wait Listed
3979,Computer Forensics,361480,Humberto,Mahdavi-damghani,fhirsch@optonline.net,(953) 796-9986,Wait Listed
3859,Network-Based Application Development,346331,Renetta,Parenti,ninenine@yahoo.ca,(772) 277-2476,Registered
3859,Network-Based Application Development,836650,Eileen,Romeo,,(545) 585-7568,Registered
3859,Network-Based Application Development,989645,Kenna,Jaida,jkegl@verizon.net,(645) 251-5843,Registered
3859,Network-Based Application Development,386186,Finley,Leland,,,Registered
3859,Network-Based Application Development,390957,Amiyah,Juliet,emmanuel@aol.com,,Registered
3859,Network-Based Application Development,653984,Sara,Arielle,,,Registered
3859,Network-Based Application Development,810772,Ariella,Trevor,kimvette@live.com,,Registered
3859,Network-Based Application Development,923100,Isiah,Alina,,(900) 321-2010,Registered
3859,Network-Based Application Development,775113,Makena,Meadow,mavilar@optonline.net,(845) 373-3548,Registered
3859,Network-Based Application Development,301524,Lorrine,Tai,portele@yahoo.ca,,Registered
3859,Network-Based Application Development,330618,Raymonde,Barron,sburke@mac.com,(204) 403-3517,Registered
3859,Network-Based Application Development,966904,Gavyn,Caleb,adamk@yahoo.ca,,Registered
3859,Network-Based Application Development,809102,Norah,Shayna,,(421) 519-4777,Registered
3859,Network-Based Application Development,312652,Mariam,Schniepp,,(856) 200-0280,Wait Listed
3859,Network-Based Application Development,619037,Tony,Jerome,,(719) 424-3072,Wait Listed
3859,Network-Based Application Development,871828,Jamir,Colby,,(724) 885-6979,Registered
3859,Network-Based Application Development,574620,Heidy,Wesley,corrada@hotmail.com,(796) 817-7334,Registered
3859,Network-Based Application Development,778130,Jayvon,Aliana,,,Registered
3859,Network-Based Application Development,860746,George,Immanuel,hoangle@me.com,(932) 950-9291,Registered
3859,Network-Based Application Development,326730,Leanne,Kniepmann,devphil@msn.com,,Registered
3859,Network-Based Application Development,704273,Karla,Abigail,,,Registered
3859,Network-Based Application Development,735473,Derek,Leila,,,Registered
3859,Network-Based Application Development,966302,Tyshawn,Maribel,,,Registered
3859,Network-Based Application Development,775342,Darren,Yadira,kawasaki@att.net,(546) 442-8664,Registered
3859,Network-Based Application Development,923316,Justice,Shaun,smartfart@comcast.net,(493) 436-9964,Registered
